date,Spot price,Demand,Gas,Coal,Hydro Pump,Hydro R-o-R,Hydro Res,Nuclear,Solar,Wind Onshore,Net Imports,Residual load,RES_pen
W/40,245.38345238095238,43757.72619047619,4351.684523809524,14.392857142857142,1204.4444444444443,3112.565476190476,753.2380952380952,25968.619047619046,2269.7738095238096,2590.3511904761904,2800.7436904761903,38897.60119047619,10.896016303711734
W/41,224.3058333333333,43817.98809523809,5036.208333333333,13.763636363636364,1275.5238095238096,2195.714285714286,709.8392857142857,27918.07738095238,1596.6845238095239,3444.910714285714,535.151488095238,38776.392857142855,11.563471385494678
W/42,148.89928571428572,42225.29761904762,5176.940476190476,120.68666666666667,1383.9024390243903,2549.214285714286,747.0952380952381,27159.375,1460.4642857142858,5627.785714285715,-3318.585357142857,35137.04761904762,17.027208064611116
