date,Demand,Gas,Coal,Hydro Pump,Hydro R-o-R,Hydro Res,Solar,Wind Onshore,Net Imports,Residual load,RES_pen
W/14,31909.714285714286,13665.892857142857,2232.8928571428573,222.52,1875.6845238095239,271.7202380952381,3183.154761904762,3643.8571428571427,3581.5190476190473,25082.70238095238,21.561239152777766
W/15,30265.47619047619,10435.44642857143,2401.5416666666665,258.32278481012656,1762.0654761904761,199.3154761904762,3646.7916666666665,2746.654761904762,5387.437916666667,23872.029761904763,21.593443312389727
W/16,29532.630952380954,10080.869047619048,1535.9761904761904,448.77536231884056,2066.029761904762,231.36904761904762,2880.0178571428573,3710.2976190476193,5616.181071428572,22942.315476190477,23.10063544048622
