date,Spot price,Demand,Lignite,Gas,Coal,Hydro Pump,Hydro R-o-R,Hydro Res,Nuclear,Solar,Wind Offshore,Wind Onshore,Net Imports,Residual load,RES_pen
W/40,163.2220357142857,53305.00376190476,11564.437095238096,3156.9347857142857,5708.952833333334,1639.3369404761906,1657.5992023809526,190.12077380952383,4003.3153333333335,6614.566654761906,4104.626321428571,13351.933785714287,-4849.9483452380955,29233.877,44.29693303211877
W/41,213.83283333333333,54677.830714285716,12895.833380952381,6912.830142857142,7860.0001309523805,1376.9801785714287,1373.352988095238,174.08729761904763,4023.601,4701.838488095238,2723.7956785714287,7912.513321428571,-1316.1133333333335,39339.68322619047,28.301462991822643
W/42,156.41473809523808,54759.0338452381,11618.902761904763,7640.369857142857,5137.686535714286,1270.4275952380954,1179.05575,115.31886904761905,3443.5302142857145,4176.442821428571,2827.3290952380953,10106.260238095238,-114.35585714285715,37649.00169047619,30.94095887247452
