date,Spot price,Demand,Lignite,Gas,Coal,Hydro Pump,Hydro R-o-R,Hydro Res,Solar,Wind Onshore,Net Imports,Residual load,RES_pen
W/40,122.06154761904762,19066.04136904762,4768.936964285715,617.9222023809523,7273.3328571428565,144.59839285714284,154.56839285714287,20.010714285714286,1187.6658928571428,3407.708511904762,-124.3682738095238,14470.666964285712,24.103407662715007
W/41,146.44744047619048,19269.25214285714,5054.622083333334,602.2308333333333,8289.179226190477,143.36535714285714,145.25732142857143,12.570833333333335,1189.3941666666667,2255.576011904762,-15.908333333333328,15824.281964285716,18.003045024695805
W/42,144.39869047619047,19426.072738095238,4795.900059523809,795.9136309523809,8767.999821428572,123.98684523809524,130.55,8.979166666666666,871.162261904762,2042.0390476190476,122.78744047619048,16512.871428571427,14.862425318447773
